date,category,value,units,notes
28/03/23,Total Recovered,44165703,value in absolute number,
28/03/23,Total Deaths,530841,value in absolute number,
27/03/23,Total Positive Cases,44705952,value in absolute number,
27/03/23,Number of Active cases,10300,value in absolute number,
27/03/23,Total Recovered,44164815,value in absolute number,
27/03/23,Total Deaths,530837,value in absolute number,
26/03/23,Total Positive Cases,44704147,value in absolute number,
26/03/23,Number of Active cases,9433,value in absolute number,
26/03/23,Total Recovered,44163883,value in absolute number,
26/03/23,Total Deaths,530831,value in absolute number,
25/03/23,Total Positive Cases,44702257,value in absolute number,
25/03/23,Number of Active cases,8601,value in absolute number,
25/03/23,Total Recovered,44162832,value in absolute number,
25/03/23,Total Deaths,530824,value in absolute number,
24/03/23,Total Positive Cases,44700667,value in absolute number,
24/03/23,Number of Active cases,7927,value in absolute number,
24/03/23,Total Recovered,44161922,value in absolute number,
24/03/23,Total Deaths,530818,value in absolute number,
23/03/23,Total Positive Cases,44699418,value in absolute number,
23/03/23,Number of Active cases,7605,value in absolute number,
23/03/23,Total Recovered,44160997,value in absolute number,
23/03/23,Total Deaths,530816,value in absolute number,
22/03/23,Total Positive Cases,44698118,value in absolute number,
22/03/23,Number of Active cases,7026,value in absolute number,
22/03/23,Total Recovered,44160279,value in absolute number,
22/03/23,Total Deaths,530813,value in absolute number,
21/03/23,Total Positive Cases,44696984,value in absolute number,
21/03/23,Number of Active cases,6559,value in absolute number,
21/03/23,Total Recovered,44159617,value in absolute number,
21/03/23,Total Deaths,530808,value in absolute number,
20/03/23,Total Positive Cases,44696338,value in absolute number,
20/03/23,Number of Active cases,6350,value in absolute number,
20/03/23,Total Recovered,44159182,value in absolute number,
20/03/23,Total Deaths,530806,value in absolute number,
19/03/23,Total Positive Cases,44695420,value in absolute number,
19/03/23,Number of Active cases,5915,value in absolute number,
19/03/23,Total Recovered,44158703,value in absolute number,
19/03/23,Total Deaths,530802,value in absolute number,
18/03/23,Total Positive Cases,44694349,value in absolute number,
18/03/23,Number of Active cases,5389,value in absolute number,
18/03/23,Total Recovered,44158161,value in absolute number,
18/03/23,Total Deaths,530799,value in absolute number,
17/03/23,Total Positive Cases,44693506,value in absolute number,
17/03/23,Number of Active cases,5026,value in absolute number,
17/03/23,Total Recovered,44157685,value in absolute number,
17/03/23,Total Deaths,530795,value in absolute number,
16/03/23,Total Positive Cases,44692710,value in absolute number,
16/03/23,Number of Active cases,4623,value in absolute number,
16/03/23,Total Recovered,44157297,value in absolute number,
16/03/23,Total Deaths,530790,value in absolute number,
15/03/23,Total Positive Cases,44691956,value in absolute number,
15/03/23,Number of Active cases,4197,value in absolute number,
15/03/23,Total Recovered,44156970,value in absolute number,
15/03/23,Total Deaths,530789,value in absolute number,
14/03/23,Total Positive Cases,44691338,value in absolute number,
14/03/23,Number of Active cases,3903,value in absolute number,
14/03/23,Total Recovered,44156651,value in absolute number,
14/03/23,Total Deaths,530784,value in absolute number,
13/03/23,Total Positive Cases,44690936,value in absolute number,
13/03/23,Number of Active cases,3809,value in absolute number,
13/03/23,Total Recovered,44156345,value in absolute number,
13/03/23,Total Deaths,530782,value in absolute number,
12/03/23,Total Positive Cases,44690492,value in absolute number,
12/03/23,Number of Active cases,3618,value in absolute number,
12/03/23,Total Recovered,44156093,value in absolute number,
12/03/23,Total Deaths,530781,value in absolute number,
11/03/23,Total Positive Cases,44689968,value in absolute number,
11/03/23,Number of Active cases,3406,value in absolute number,
11/03/23,Total Recovered,44155782,value in absolute number,
11/03/23,Total Deaths,530780,value in absolute number,
10/03/23,Total Positive Cases,44689512,value in absolute number,
10/03/23,Number of Active cases,3294,value in absolute number,
10/03/23,Total Recovered,44155439,value in absolute number,
10/03/23,Total Deaths,530779,value in absolute number,
09/03/23,Total Positive Cases,44689072,value in absolute number,
09/03/23,Number of Active cases,3177,value in absolute number,
09/03/23,Total Recovered,44155119,value in absolute number,
09/03/23,Total Deaths,530776,value in absolute number,
08/03/23,Total Positive Cases,44688693,value in absolute number,
08/03/23,Number of Active cases,3076,value in absolute number,
08/03/23,Total Recovered,44154842,value in absolute number,
08/03/23,Total Deaths,530775,value in absolute number,
07/03/23,Total Positive Cases,44688367,value in absolute number,
07/03/23,Number of Active cases,2970,value in absolute number,
07/03/23,Total Recovered,44154622,value in absolute number,
07/03/23,Total Deaths,530775,value in absolute number,
06/03/23,Total Positive Cases,44688101,value in absolute number,
06/03/23,Number of Active cases,2901,value in absolute number,
06/03/23,Total Recovered,44154425,value in absolute number,
06/03/23,Total Deaths,530775,value in absolute number,
05/03/23,Total Positive Cases,44687820,value in absolute number,
05/03/23,Number of Active cases,2791,value in absolute number,
05/03/23,Total Recovered,44154254,value in absolute number,
05/03/23,Total Deaths,530775,value in absolute number,
04/03/23,Total Positive Cases,44687496,value in absolute number,
04/03/23,Number of Active cases,2686,value in absolute number,
04/03/23,Total Recovered,44154035,value in absolute number,
04/03/23,Total Deaths,530775,value in absolute number,
03/03/23,Total Positive Cases,44687162,value in absolute number,
03/03/23,Number of Active cases,2525,value in absolute number,
03/03/23,Total Recovered,44153865,value in absolute number,
03/03/23,Total Deaths,530772,value in absolute number,
02/03/23,Total Positive Cases,44686879,value in absolute number,
02/03/23,Number of Active cases,2439,value in absolute number,
02/03/23,Total Recovered,44153668,value in absolute number,
02/03/23,Total Deaths,530772,value in absolute number,
01/03/23,Total Positive Cases,44686611,value in absolute number,
01/03/23,Number of Active cases,2335,value in absolute number,
01/03/23,Total Recovered,44153504,value in absolute number,
01/03/23,Total Deaths,530772,value in absolute number,
28/02/23,Total Positive Cases,44686371,value in absolute number,
28/02/23,Number of Active cases,2257,value in absolute number,
28/02/23,Total Recovered,44153343,value in absolute number,
28/02/23,Total Deaths,530771,value in absolute number,
27/02/23,Total Positive Cases,44686202,value in absolute number,
27/02/23,Number of Active cases,2229,value in absolute number,
27/02/23,Total Recovered,44153203,value in absolute number,
27/02/23,Total Deaths,530770,value in absolute number,
26/02/23,Total Positive Cases,44686017,value in absolute number,
26/02/23,Number of Active cases,2149,value in absolute number,
26/02/23,Total Recovered,44153099,value in absolute number,
26/02/23,Total Deaths,530769,value in absolute number,
25/02/23,Total Positive Cases,44685799,value in absolute number,
25/02/23,Number of Active cases,2090,value in absolute number,
25/02/23,Total Recovered,44152945,value in absolute number,
25/02/23,Total Deaths,530764,value in absolute number,
24/02/23,Total Positive Cases,44685619,value in absolute number,
24/02/23,Number of Active cases,2016,value in absolute number,
24/02/23,Total Recovered,44152839,value in absolute number,
24/02/23,Total Deaths,530764,value in absolute number,
23/02/23,Total Positive Cases,44685450,value in absolute number,
23/02/23,Number of Active cases,2000,value in absolute number,
23/02/23,Total Recovered,44152687,value in absolute number,
23/02/23,Total Deaths,530763,value in absolute number,
22/02/23,Total Positive Cases,44685257,value in absolute number,
22/02/23,Number of Active cases,1935,value in absolute number,
22/02/23,Total Recovered,44152560,value in absolute number,
22/02/23,Total Deaths,530762,value in absolute number,
21/02/23,Total Positive Cases,44685132,value in absolute number,
21/02/23,Number of Active cases,1921,value in absolute number,
21/02/23,Total Recovered,44152450,value in absolute number,
21/02/23,Total Deaths,530761,value in absolute number,
20/02/23,Total Positive Cases,44685037,value in absolute number,
20/02/23,Number of Active cases,1916,value in absolute number,
20/02/23,Total Recovered,44152360,value in absolute number,
20/02/23,Total Deaths,530761,value in absolute number,
19/02/23,Total Positive Cases,44684917,value in absolute number,
19/02/23,Number of Active cases,1899,value in absolute number,
19/02/23,Total Recovered,44152258,value in absolute number,
19/02/23,Total Deaths,530760,value in absolute number,
18/02/23,Total Positive Cases,44684775,value in absolute number,
18/02/23,Number of Active cases,1867,value in absolute number,
18/02/23,Total Recovered,44152151,value in absolute number,
18/02/23,Total Deaths,530757,value in absolute number,
17/02/23,Total Positive Cases,44684658,value in absolute number,
17/02/23,Number of Active cases,1862,value in absolute number,
17/02/23,Total Recovered,44152039,value in absolute number,
17/02/23,Total Deaths,530757,value in absolute number,
16/02/23,Total Positive Cases,44684502,value in absolute number,
16/02/23,Number of Active cases,1835,value in absolute number,
16/02/23,Total Recovered,44151910,value in absolute number,
16/02/23,Total Deaths,530757,value in absolute number,
15/02/23,Total Positive Cases,44684376,value in absolute number,
15/02/23,Number of Active cases,1823,value in absolute number,
15/02/23,Total Recovered,44151797,value in absolute number,
15/02/23,Total Deaths,530756,value in absolute number,
14/02/23,Total Positive Cases,44684274,value in absolute number,
14/02/23,Number of Active cases,1818,value in absolute number,
14/02/23,Total Recovered,44151703,value in absolute number,
14/02/23,Total Deaths,530753,value in absolute number,
13/02/23,Total Positive Cases,44684200,value in absolute number,
13/02/23,Number of Active cases,1837,value in absolute number,
13/02/23,Total Recovered,44151610,value in absolute number,
13/02/23,Total Deaths,530753,value in absolute number,
12/02/23,Total Positive Cases,44684118,value in absolute number,
12/02/23,Number of Active cases,1843,value in absolute number,
12/02/23,Total Recovered,44151525,value in absolute number,
12/02/23,Total Deaths,530750,value in absolute number,
11/02/23,Total Positive Cases,44683994,value in absolute number,
11/02/23,Number of Active cases,1820,value in absolute number,
11/02/23,Total Recovered,44151424,value in absolute number,
11/02/23,Total Deaths,530750,value in absolute number,
10/02/23,Total Positive Cases,44683862,value in absolute number,
10/02/23,Number of Active cases,1797,value in absolute number,
10/02/23,Total Recovered,44151315,value in absolute number,
10/02/23,Total Deaths,530750,value in absolute number,
09/02/23,Total Positive Cases,44683748,value in absolute number,
09/02/23,Number of Active cases,1781,value in absolute number,
09/02/23,Total Recovered,44151219,value in absolute number,
09/02/23,Total Deaths,530748,value in absolute number,
08/02/23,Total Positive Cases,44683639,value in absolute number,
08/02/23,Number of Active cases,1785,value in absolute number,
08/02/23,Total Recovered,44151108,value in absolute number,
08/02/23,Total Deaths,530746,value in absolute number,
07/02/23,Total Positive Cases,44683543,value in absolute number,
07/02/23,Number of Active cases,1771,value in absolute number,
07/02/23,Total Recovered,44151027,value in absolute number,
07/02/23,Total Deaths,530745,value in absolute number,
06/02/23,Total Positive Cases,44683454,value in absolute number,
06/02/23,Number of Active cases,1817,value in absolute number,
06/02/23,Total Recovered,44150892,value in absolute number,
06/02/23,Total Deaths,530745,value in absolute number,
05/02/23,Total Positive Cases,44683363,value in absolute number,
05/02/23,Number of Active cases,1817,value in absolute number,
05/02/23,Total Recovered,44150801,value in absolute number,
05/02/23,Total Deaths,530745,value in absolute number,
04/02/23,Total Positive Cases,44683250,value in absolute number,
04/02/23,Number of Active cases,1792,value in absolute number,
04/02/23,Total Recovered,44150713,value in absolute number,
04/02/23,Total Deaths,530745,value in absolute number,
03/02/23,Total Positive Cases,44683122,value in absolute number,
03/02/23,Number of Active cases,1764,value in absolute number,
03/02/23,Total Recovered,44150617,value in absolute number,
03/02/23,Total Deaths,530741,value in absolute number,
02/02/23,Total Positive Cases,44683023,value in absolute number,
02/02/23,Number of Active cases,1763,value in absolute number,
02/02/23,Total Recovered,44150519,value in absolute number,
02/02/23,Total Deaths,530741,value in absolute number,
01/02/23,Total Positive Cases,44682895,value in absolute number,
01/02/23,Number of Active cases,1783,value in absolute number,
01/02/23,Total Recovered,44150372,value in absolute number,
01/02/23,Total Deaths,530740,value in absolute number,
31/01/23,Total Positive Cases,44682784,value in absolute number,
31/01/23,Number of Active cases,1755,value in absolute number,
31/01/23,Total Recovered,44150289,value in absolute number,
31/01/23,Total Deaths,530740,value in absolute number,
30/01/23,Total Positive Cases,44682719,value in absolute number,
30/01/23,Number of Active cases,1848,value in absolute number,
30/01/23,Total Recovered,44150131,value in absolute number,
30/01/23,Total Deaths,530740,value in absolute number,
29/01/23,Total Positive Cases,44682639,value in absolute number,
29/01/23,Number of Active cases,1842,value in absolute number,
29/01/23,Total Recovered,44150057,value in absolute number,
29/01/23,Total Deaths,530740,value in absolute number,
28/01/23,Total Positive Cases,44682530,value in absolute number,
28/01/23,Number of Active cases,1842,value in absolute number,
28/01/23,Total Recovered,44149949,value in absolute number,
28/01/23,Total Deaths,530739,value in absolute number,
27/01/23,Total Positive Cases,44682437,value in absolute number,
27/01/23,Number of Active cases,1896,value in absolute number,
27/01/23,Total Recovered,44149802,value in absolute number,
27/01/23,Total Deaths,530739,value in absolute number,
26/01/23,Total Positive Cases,44682338,value in absolute number,
26/01/23,Number of Active cases,1906,value in absolute number,
26/01/23,Total Recovered,44149694,value in absolute number,
26/01/23,Total Deaths,530738,value in absolute number,
25/01/23,Total Positive Cases,44682206,value in absolute number,
25/01/23,Number of Active cases,1922,value in absolute number,
25/01/23,Total Recovered,44149547,value in absolute number,
25/01/23,Total Deaths,530737,value in absolute number,
24/01/23,Total Positive Cases,44682104,value in absolute number,
24/01/23,Number of Active cases,1931,value in absolute number,
24/01/23,Total Recovered,44149436,value in absolute number,
24/01/23,Total Deaths,530737,value in absolute number,
23/01/23,Total Positive Cases,44682015,value in absolute number,
23/01/23,Number of Active cases,1934,value in absolute number,
23/01/23,Total Recovered,44149346,value in absolute number,
23/01/23,Total Deaths,530735,value in absolute number,
22/01/23,Total Positive Cases,44681921,value in absolute number,
22/01/23,Number of Active cases,1960,value in absolute number,
22/01/23,Total Recovered,44149228,value in absolute number,
22/01/23,Total Deaths,530733,value in absolute number,
21/01/23,Total Positive Cases,44681781,value in absolute number,
21/01/23,Number of Active cases,1940,value in absolute number,
21/01/23,Total Recovered,44149111,value in absolute number,
21/01/23,Total Deaths,530730,value in absolute number,
20/01/23,Total Positive Cases,44681650,value in absolute number,
20/01/23,Number of Active cases,1946,value in absolute number,
20/01/23,Total Recovered,44148976,value in absolute number,
20/01/23,Total Deaths,530728,value in absolute number,
19/01/23,Total Positive Cases,44681505,value in absolute number,
19/01/23,Number of Active cases,1962,value in absolute number,
19/01/23,Total Recovered,44148815,value in absolute number,
19/01/23,Total Deaths,530728,value in absolute number,
18/01/23,Total Positive Cases,44681371,value in absolute number,
18/01/23,Number of Active cases,1998,value in absolute number,
18/01/23,Total Recovered,44148645,value in absolute number,
18/01/23,Total Deaths,530728,value in absolute number,
17/01/23,Total Positive Cases,44681233,value in absolute number,
17/01/23,Number of Active cases,2035,value in absolute number,
17/01/23,Total Recovered,44148472,value in absolute number,
17/01/23,Total Deaths,530726,value in absolute number,
16/01/23,Total Positive Cases,44681154,value in absolute number,
16/01/23,Number of Active cases,2119,value in absolute number,
16/01/23,Total Recovered,44148309,value in absolute number,
16/01/23,Total Deaths,530726,value in absolute number,
15/01/23,Total Positive Cases,44681040,value in absolute number,
15/01/23,Number of Active cases,2149,value in absolute number,
15/01/23,Total Recovered,44148165,value in absolute number,
15/01/23,Total Deaths,530726,value in absolute number,
14/01/23,Total Positive Cases,44680936,value in absolute number,
14/01/23,Number of Active cases,2227,value in absolute number,
14/01/23,Total Recovered,44147983,value in absolute number,
14/01/23,Total Deaths,530726,value in absolute number,
13/01/23,Total Positive Cases,44680757,value in absolute number,
13/01/23,Number of Active cases,2257,value in absolute number,
13/01/23,Total Recovered,44147775,value in absolute number,
13/01/23,Total Deaths,530725,value in absolute number,
12/01/23,Total Positive Cases,44680583,value in absolute number,
12/01/23,Number of Active cases,2309,value in absolute number,
12/01/23,Total Recovered,44147551,value in absolute number,
12/01/23,Total Deaths,530723,value in absolute number,
11/01/23,Total Positive Cases,44680386,value in absolute number,
11/01/23,Number of Active cases,2342,value in absolute number,
11/01/23,Total Recovered,44147322,value in absolute number,
11/01/23,Total Deaths,530722,value in absolute number,
10/01/23,Total Positive Cases,44680215,value in absolute number,
10/01/23,Number of Active cases,2319,value in absolute number,
10/01/23,Total Recovered,44147174,value in absolute number,
10/01/23,Total Deaths,530722,value in absolute number,
09/01/23,Total Positive Cases,44680094,value in absolute number,
09/01/23,Number of Active cases,2371,value in absolute number,
09/01/23,Total Recovered,44147002,value in absolute number,
09/01/23,Total Deaths,530721,value in absolute number,
08/01/23,Total Positive Cases,44679924,value in absolute number,
08/01/23,Number of Active cases,2423,value in absolute number,
08/01/23,Total Recovered,44146781,value in absolute number,
08/01/23,Total Deaths,530720,value in absolute number,
07/01/23,Total Positive Cases,44679761,value in absolute number,
07/01/23,Number of Active cases,2509,value in absolute number,
07/01/23,Total Recovered,44146534,value in absolute number,
07/01/23,Total Deaths,530718,value in absolute number,
06/01/23,Total Positive Cases,44679547,value in absolute number,
06/01/23,Number of Active cases,2503,value in absolute number,
06/01/23,Total Recovered,44146330,value in absolute number,
06/01/23,Total Deaths,530714,value in absolute number,
05/01/23,Total Positive Cases,44679319,value in absolute number,
05/01/23,Number of Active cases,2554,value in absolute number,
05/01/23,Total Recovered,44146055,value in absolute number,
05/01/23,Total Deaths,530710,value in absolute number,
04/01/23,Total Positive Cases,44679131,value in absolute number,
04/01/23,Number of Active cases,2570,value in absolute number,
04/01/23,Total Recovered,44145854,value in absolute number,
04/01/23,Total Deaths,530707,value in absolute number,
03/01/23,Total Positive Cases,44678956,value in absolute number,
03/01/23,Number of Active cases,2582,value in absolute number,
03/01/23,Total Recovered,44145667,value in absolute number,
03/01/23,Total Deaths,530707,value in absolute number,
02/01/23,Total Positive Cases,44678822,value in absolute number,
02/01/23,Number of Active cases,2670,value in absolute number,
02/01/23,Total Recovered,44145445,value in absolute number,
02/01/23,Total Deaths,530707,value in absolute number,
01/01/23,Total Positive Cases,44678649,value in absolute number,
01/01/23,Number of Active cases,2706,value in absolute number,
01/01/23,Total Recovered,44145238,value in absolute number,
01/01/23,Total Deaths,530705,value in absolute number,
31/12/22,Total Positive Cases,44678384,value in absolute number,
31/12/22,Number of Active cases,3653,value in absolute number,
31/12/22,Total Recovered,44144029,value in absolute number,
31/12/22,Total Deaths,530702,value in absolute number,
30/12/22,Total Positive Cases,44678158,value in absolute number,
30/12/22,Number of Active cases,3609,value in absolute number,
30/12/22,Total Recovered,44143850,value in absolute number,
30/12/22,Total Deaths,530699,value in absolute number,
29/12/22,Total Positive Cases,44677915,value in absolute number,
29/12/22,Number of Active cases,3552,value in absolute number,
29/12/22,Total Recovered,44143665,value in absolute number,
29/12/22,Total Deaths,530698,value in absolute number,
28/12/22,Total Positive Cases,44677647,value in absolute number,
28/12/22,Number of Active cases,3468,value in absolute number,
28/12/22,Total Recovered,44143483,value in absolute number,
28/12/22,Total Deaths,530696,value in absolute number,
27/12/22,Total Positive Cases,44677459,value in absolute number,
27/12/22,Number of Active cases,3421,value in absolute number,
27/12/22,Total Recovered,44143342,value in absolute number,
27/12/22,Total Deaths,530696,value in absolute number,
26/12/22,Total Positive Cases,44677302,value in absolute number,
26/12/22,Number of Active cases,3428,value in absolute number,
26/12/22,Total Recovered,44143179,value in absolute number,
26/12/22,Total Deaths,530695,value in absolute number,
25/12/22,Total Positive Cases,44677106,value in absolute number,
25/12/22,Number of Active cases,3424,value in absolute number,
25/12/22,Total Recovered,44142989,value in absolute number,
25/12/22,Total Deaths,530693,value in absolute number,
24/12/22,Total Positive Cases,44676879,value in absolute number,
24/12/22,Number of Active cases,3397,value in absolute number,
24/12/22,Total Recovered,44142791,value in absolute number,
24/12/22,Total Deaths,530691,value in absolute number,
23/12/22,Total Positive Cases,44676678,value in absolute number,
23/12/22,Number of Active cases,3380,value in absolute number,
23/12/22,Total Recovered,44142608,value in absolute number,
23/12/22,Total Deaths,530690,value in absolute number,
22/12/22,Total Positive Cases,44676515,value in absolute number,
22/12/22,Number of Active cases,3402,value in absolute number,
22/12/22,Total Recovered,44142432,value in absolute number,
22/12/22,Total Deaths,530681,value in absolute number,
21/12/22,Total Positive Cases,44676330,value in absolute number,
21/12/22,Number of Active cases,3408,value in absolute number,
21/12/22,Total Recovered,44142242,value in absolute number,
21/12/22,Total Deaths,530680,value in absolute number,
20/12/22,Total Positive Cases,44676199,value in absolute number,
20/12/22,Number of Active cases,3490,value in absolute number,
20/12/22,Total Recovered,44142032,value in absolute number,
20/12/22,Total Deaths,530677,value in absolute number,
19/12/22,Total Positive Cases,44676087,value in absolute number,
19/12/22,Number of Active cases,3559,value in absolute number,
19/12/22,Total Recovered,44141854,value in absolute number,
19/12/22,Total Deaths,530674,value in absolute number,
18/12/22,Total Positive Cases,44675952,value in absolute number,
18/12/22,Number of Active cases,3552,value in absolute number,
18/12/22,Total Recovered,44141728,value in absolute number,
18/12/22,Total Deaths,530672,value in absolute number,
17/12/22,Total Positive Cases,44675776,value in absolute number,
17/12/22,Number of Active cases,3608,value in absolute number,
17/12/22,Total Recovered,44141501,value in absolute number,
17/12/22,Total Deaths,530667,value in absolute number,
16/12/22,Total Positive Cases,44675609,value in absolute number,
16/12/22,Number of Active cases,3691,value in absolute number,
16/12/22,Total Recovered,44141255,value in absolute number,
16/12/22,Total Deaths,530663,value in absolute number,
15/12/22,Total Positive Cases,44675447,value in absolute number,
15/12/22,Number of Active cases,3767,value in absolute number,
15/12/22,Total Recovered,44141017,value in absolute number,
15/12/22,Total Deaths,530663,value in absolute number,
14/12/22,Total Positive Cases,44675247,value in absolute number,
14/12/22,Number of Active cases,3846,value in absolute number,
14/12/22,Total Recovered,44140743,value in absolute number,
14/12/22,Total Deaths,530658,value in absolute number,
13/12/22,Total Positive Cases,44675095,value in absolute number,
13/12/22,Number of Active cases,3845,value in absolute number,
13/12/22,Total Recovered,44140592,value in absolute number,
13/12/22,Total Deaths,530658,value in absolute number,
12/12/22,Total Positive Cases,44674981,value in absolute number,
12/12/22,Number of Active cases,3906,value in absolute number,
12/12/22,Total Recovered,44140417,value in absolute number,
12/12/22,Total Deaths,530658,value in absolute number,
11/12/22,Total Positive Cases,44674822,value in absolute number,
11/12/22,Number of Active cases,3913,value in absolute number,
11/12/22,Total Recovered,44140251,value in absolute number,
11/12/22,Total Deaths,530658,value in absolute number,
10/12/22,Total Positive Cases,44674649,value in absolute number,
10/12/22,Number of Active cases,4047,value in absolute number,
10/12/22,Total Recovered,44139948,value in absolute number,
10/12/22,Total Deaths,530654,value in absolute number,
09/12/22,Total Positive Cases,44674439,value in absolute number,
09/12/22,Number of Active cases,4228,value in absolute number,
09/12/22,Total Recovered,44139558,value in absolute number,
09/12/22,Total Deaths,530653,value in absolute number,
08/12/22,Total Positive Cases,44674190,value in absolute number,
08/12/22,Number of Active cases,4244,value in absolute number,
08/12/22,Total Recovered,44139299,value in absolute number,
08/12/22,Total Deaths,530647,value in absolute number,
07/12/22,Total Positive Cases,44673949,value in absolute number,
07/12/22,Number of Active cases,4255,value in absolute number,
07/12/22,Total Recovered,44139056,value in absolute number,
07/12/22,Total Deaths,530638,value in absolute number,
06/12/22,Total Positive Cases,44673783,value in absolute number,
06/12/22,Number of Active cases,4345,value in absolute number,
06/12/22,Total Recovered,44138805,value in absolute number,
06/12/22,Total Deaths,530633,value in absolute number,
05/12/22,Total Positive Cases,44673618,value in absolute number,
05/12/22,Number of Active cases,4434,value in absolute number,
05/12/22,Total Recovered,44138554,value in absolute number,
05/12/22,Total Deaths,530630,value in absolute number,
04/12/22,Total Positive Cases,44673392,value in absolute number,
04/12/22,Number of Active cases,4529,value in absolute number,
04/12/22,Total Recovered,44138235,value in absolute number,
04/12/22,Total Deaths,530628,value in absolute number,
03/12/22,Total Positive Cases,44673166,value in absolute number,
03/12/22,Number of Active cases,4597,value in absolute number,
03/12/22,Total Recovered,44137942,value in absolute number,
03/12/22,Total Deaths,530627,value in absolute number,
02/12/22,Total Positive Cases,44672913,value in absolute number,
02/12/22,Number of Active cases,4672,value in absolute number,
02/12/22,Total Recovered,44137617,value in absolute number,
02/12/22,Total Deaths,530624,value in absolute number,
01/12/22,Total Positive Cases,44672638,value in absolute number,
01/12/22,Number of Active cases,4767,value in absolute number,
01/12/22,Total Recovered,44137249,value in absolute number,
01/12/22,Total Deaths,530622,value in absolute number,
30/11/22,Total Positive Cases,44672347,value in absolute number,
30/11/22,Number of Active cases,4855,value in absolute number,
30/11/22,Total Recovered,44136872,value in absolute number,
30/11/22,Total Deaths,530620,value in absolute number,
29/11/22,Total Positive Cases,44672068,value in absolute number,
29/11/22,Number of Active cases,4982,value in absolute number,
29/11/22,Total Recovered,44136471,value in absolute number,
29/11/22,Total Deaths,530615,value in absolute number,
28/11/22,Total Positive Cases,44671853,value in absolute number,
28/11/22,Number of Active cases,5123,value in absolute number,
28/11/22,Total Recovered,44136116,value in absolute number,
28/11/22,Total Deaths,530614,value in absolute number,
27/11/22,Total Positive Cases,44671562,value in absolute number,
27/11/22,Number of Active cases,5263,value in absolute number,
27/11/22,Total Recovered,44135687,value in absolute number,
27/11/22,Total Deaths,530612,value in absolute number,
26/11/22,Total Positive Cases,44671219,value in absolute number,
26/11/22,Number of Active cases,5395,value in absolute number,
26/11/22,Total Recovered,44135216,value in absolute number,
26/11/22,Total Deaths,530608,value in absolute number,
25/11/22,Total Positive Cases,44670830,value in absolute number,
25/11/22,Number of Active cases,5516,value in absolute number,
25/11/22,Total Recovered,44134710,value in absolute number,
25/11/22,Total Deaths,530604,value in absolute number,
24/11/22,Total Positive Cases,44670483,value in absolute number,
24/11/22,Number of Active cases,5881,value in absolute number,
24/11/22,Total Recovered,44134001,value in absolute number,
24/11/22,Total Deaths,530601,value in absolute number,
23/11/22,Total Positive Cases,44670075,value in absolute number,
23/11/22,Number of Active cases,6046,value in absolute number,
23/11/22,Total Recovered,44133433,value in absolute number,
23/11/22,Total Deaths,530596,value in absolute number,
22/11/22,Total Positive Cases,44669715,value in absolute number,
22/11/22,Number of Active cases,6209,value in absolute number,
22/11/22,Total Recovered,44132915,value in absolute number,
22/11/22,Total Deaths,530591,value in absolute number,
21/11/22,Total Positive Cases,44669421,value in absolute number,
21/11/22,Number of Active cases,6402,value in absolute number,
21/11/22,Total Recovered,44132433,value in absolute number,
21/11/22,Total Deaths,530586,value in absolute number,
20/11/22,Total Positive Cases,44669015,value in absolute number,
20/11/22,Number of Active cases,6489,value in absolute number,
20/11/22,Total Recovered,44131952,value in absolute number,
20/11/22,Total Deaths,530574,value in absolute number,
19/11/22,Total Positive Cases,44668523,value in absolute number,
19/11/22,Number of Active cases,6782,value in absolute number,
19/11/22,Total Recovered,44131171,value in absolute number,
19/11/22,Total Deaths,530570,value in absolute number,
18/11/22,Total Positive Cases,44667967,value in absolute number,
18/11/22,Number of Active cases,7034,value in absolute number,
18/11/22,Total Recovered,44130380,value in absolute number,
18/11/22,Total Deaths,530553,value in absolute number,
17/11/22,Total Positive Cases,44667311,value in absolute number,
17/11/22,Number of Active cases,7175,value in absolute number,
17/11/22,Total Recovered,44129590,value in absolute number,
17/11/22,Total Deaths,530546,value in absolute number,
16/11/22,Total Positive Cases,44666676,value in absolute number,
16/11/22,Number of Active cases,7561,value in absolute number,
16/11/22,Total Recovered,44128580,value in absolute number,
16/11/22,Total Deaths,530535,value in absolute number,
15/11/22,Total Positive Cases,44666175,value in absolute number,
15/11/22,Number of Active cases,7918,value in absolute number,
15/11/22,Total Recovered,44127724,value in absolute number,
15/11/22,Total Deaths,530533,value in absolute number,
14/11/22,Total Positive Cases,44666924,value in absolute number,
14/11/22,Number of Active cases,9468,value in absolute number,
14/11/22,Total Recovered,44126924,value in absolute number,
14/11/22,Total Deaths,530532,value in absolute number,
13/11/22,Total Positive Cases,44666377,value in absolute number,
13/11/22,Number of Active cases,12307,value in absolute number,
13/11/22,Total Recovered,44123539,value in absolute number,
13/11/22,Total Deaths,530531,value in absolute number,
12/11/22,Total Positive Cases,44665643,value in absolute number,
12/11/22,Number of Active cases,12553,value in absolute number,
12/11/22,Total Recovered,44122562,value in absolute number,
12/11/22,Total Deaths,530528,value in absolute number,
11/11/22,Total Positive Cases,44664810,value in absolute number,
11/11/22,Number of Active cases,12752,value in absolute number,
11/11/22,Total Recovered,44121538,value in absolute number,
11/11/22,Total Deaths,530520,value in absolute number,
10/11/22,Total Positive Cases,44663968,value in absolute number,
10/11/22,Number of Active cases,13187,value in absolute number,
10/11/22,Total Recovered,44120267,value in absolute number,
10/11/22,Total Deaths,530514,value in absolute number,
