date,category,value,units,notes
20/10/23,Total Deaths,532038,value in absolute number,
19/10/23,Total Positive Cases,44999728,value in absolute number,
19/10/23,Number of Active cases,307,value in absolute number,
19/10/23,Total Recovered,44467384,value in absolute number,
19/10/23,Total Deaths,532037,value in absolute number,
18/10/23,Total Positive Cases,44999680,value in absolute number,
18/10/23,Number of Active cases,306,value in absolute number,
18/10/23,Total Recovered,44467337,value in absolute number,
18/10/23,Total Deaths,532037,value in absolute number,
17/10/23,Total Positive Cases,44999642,value in absolute number,
17/10/23,Number of Active cases,312,value in absolute number,
17/10/23,Total Recovered,44467293,value in absolute number,
17/10/23,Total Deaths,532037,value in absolute number,
16/10/23,Total Positive Cases,44999621,value in absolute number,
16/10/23,Number of Active cases,336,value in absolute number,
16/10/23,Total Recovered,44467248,value in absolute number,
16/10/23,Total Deaths,532037,value in absolute number,
15/10/23,Total Positive Cases,44999588,value in absolute number,
15/10/23,Number of Active cases,340,value in absolute number,
15/10/23,Total Recovered,44467211,value in absolute number,
15/10/23,Total Deaths,532037,value in absolute number,
14/10/23,Total Positive Cases,44999561,value in absolute number,
14/10/23,Number of Active cases,359,value in absolute number,
14/10/23,Total Recovered,44467165,value in absolute number,
14/10/23,Total Deaths,532037,value in absolute number,
13/10/23,Total Positive Cases,44999510,value in absolute number,
13/10/23,Number of Active cases,349,value in absolute number,
13/10/23,Total Recovered,44467124,value in absolute number,
13/10/23,Total Deaths,532037,value in absolute number,
12/10/23,Total Positive Cases,44999473,value in absolute number,
12/10/23,Number of Active cases,342,value in absolute number,
12/10/23,Total Recovered,44467096,value in absolute number,
12/10/23,Total Deaths,532035,value in absolute number,
11/10/23,Total Positive Cases,44999438,value in absolute number,
11/10/23,Number of Active cases,348,value in absolute number,
11/10/23,Total Recovered,44467055,value in absolute number,
11/10/23,Total Deaths,532035,value in absolute number,
10/10/23,Total Positive Cases,44999392,value in absolute number,
10/10/23,Number of Active cases,337,value in absolute number,
10/10/23,Total Recovered,44467020,value in absolute number,
10/10/23,Total Deaths,532035,value in absolute number,
09/10/23,Total Positive Cases,44999366,value in absolute number,
09/10/23,Number of Active cases,364,value in absolute number,
09/10/23,Total Recovered,44466968,value in absolute number,
09/10/23,Total Deaths,532034,value in absolute number,
08/10/23,Total Positive Cases,44999328,value in absolute number,
08/10/23,Number of Active cases,369,value in absolute number,
08/10/23,Total Recovered,44466925,value in absolute number,
08/10/23,Total Deaths,532034,value in absolute number,
07/10/23,Total Positive Cases,44999285,value in absolute number,
07/10/23,Number of Active cases,361,value in absolute number,
07/10/23,Total Recovered,44466890,value in absolute number,
07/10/23,Total Deaths,532034,value in absolute number,
06/10/23,Total Positive Cases,44999243,value in absolute number,
06/10/23,Number of Active cases,363,value in absolute number,
06/10/23,Total Recovered,44466846,value in absolute number,
06/10/23,Total Deaths,532034,value in absolute number,
05/10/23,Total Positive Cases,44999204,value in absolute number,
05/10/23,Number of Active cases,378,value in absolute number,
05/10/23,Total Recovered,44466792,value in absolute number,
05/10/23,Total Deaths,532034,value in absolute number,
04/10/23,Total Positive Cases,44998954,value in absolute number,
04/10/23,Number of Active cases,396,value in absolute number,
04/10/23,Total Recovered,44466524,value in absolute number,
04/10/23,Total Deaths,532034,value in absolute number,
03/10/23,Total Positive Cases,44998916,value in absolute number,
03/10/23,Number of Active cases,426,value in absolute number,
03/10/23,Total Recovered,44466458,value in absolute number,
03/10/23,Total Deaths,532032,value in absolute number,
02/10/23,Total Positive Cases,44998874,value in absolute number,
02/10/23,Number of Active cases,431,value in absolute number,
02/10/23,Total Recovered,44466411,value in absolute number,
02/10/23,Total Deaths,532032,value in absolute number,
01/10/23,Total Positive Cases,44998838,value in absolute number,
01/10/23,Number of Active cases,440,value in absolute number,
01/10/23,Total Recovered,44466366,value in absolute number,
01/10/23,Total Deaths,532032,value in absolute number,
30/09/23,Total Positive Cases,44998782,value in absolute number,
30/09/23,Number of Active cases,444,value in absolute number,
30/09/23,Total Recovered,44466307,value in absolute number,
