year,bill_number,amendment_act,bill_type,introduced_member,introduced_date,introduced_house,debate/passed_in_loksabha,debate/passed_in_rajyasabha,assent_date,status,prime_minister,loksabha,loksabha_term
2004,72,"The Constitution (Amendment) Bill, 2004 (Amendment of article 130)",Private Member,Salarapatty Kuppusamy Kharventhan Shri,17-12-2004,Lok Sabha,,,,Lapsed,Manmohan Singh,14,2004- 09
2004,74,"The Constitution (Amendment) Bill, 2004 (Insertion of new article 100A)",Private Member,C.K. Chandrappan Shri,17-12-2004,Lok Sabha,,,,Lapsed,Manmohan Singh,14,2004- 09
2004,79,"The Constitution (Amendment) Bill, 2004 (Amendment of article 239AA, etc.)",Private Member,C.K. Chandrappan Shri,17-12-2004,Lok Sabha,,,,Lapsed,Manmohan Singh,14,2004- 09
2004,104,"The Constitution (One Hundred and Third Amendment) Bill, 2004",Government,,23-12-2004,Lok Sabha,,,,Lapsed,Manmohan Singh,14,2004- 09
2004,66,"The Constitution (Amendment) Bill, 2004 (Amendment of article 80, etc.)",Private Member,Pawan Kumar Bansal Shri,11-03-2005,Lok Sabha,,,,Pending,Manmohan Singh,14,2004- 09
2004,34,"The Constitution (Amendment) Bill, 2004 (To amend articles 75 and 164)",Private Member,Alladi P. Rajkumar Dr.,17-02-2006,Rajya Sabha,,,,Lapsed,Manmohan Singh,14,2004- 09
2003,31,"The Constitution ( Ninety-sixth Amendment) Bill, 2003",Government,,05-02-2003,Lok Sabha,05-06-2003,05-08-2003,22-06-2003,Assented,Atal Bihari Vajpayee,13,1999- 04
2003,38,"The Constitution ( Ninety-ninth Amendment) Bill, 2003",Government,,09-05-2003,Lok Sabha,08-08-2003,19-08-2003,28-09-2003,Passed,Atal Bihari Vajpayee,13,1999- 04
2003,63,"The Constitution (One Hundredth Amendment) Bill, 2003",Government,,18-08-2003,Lok Sabha,22-12-2003,23-12-2003,07-01-2004,Assented,Atal Bihari Vajpayee,13,1999- 04
2003,5,"The Constitution ( Amendment) Bill, 2003. (to amend article 171.)",Private Member,K. B. Krishna Murthy Shri,25-04-2003,Rajya Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2003,44,"The Constitution (Amendment) Bill, 2003 (to amend article 371).",Private Member,K. B. Krishna Murthy Shri,25-07-2003,Rajya Sabha,,,,NA,Atal Bihari Vajpayee,13,1999- 04
2003,67,"The Constitution ( One Hundred and Second Amendment) Bill, 2003",Government,,18-08-2003,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2003,57,"The Constitution (Amendment) Bill, 2003 (Amendment of articles 243ZD and 243ZE)",Private Member,Ramesh Chennithala Shri,22-08-2003,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2003,41,"The Constitution (Ninety-eight Amendment) Bill, 2003",Government,,05-09-2003,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2003,70,"The Constitution (Amendment) Bill, 2003 (Insertion of new article 371EA)",Private Member,Ramesh Chennithala Shri,19-12-2003,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2003,73,"The Constitution (Amendment) Bill, 2003 (Amendment of article 103, etc.)",Private Member,Gulam Mehmood Banatwalla Shri,19-12-2003,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,94,"The Constitution (Ninety-fourth Amendment) Bill, 2002",Government,,20-12-2002,Lok Sabha,08-08-2003,19-08-2003,28-09-2003,Passed,Atal Bihari Vajpayee,13,1999- 04
2002,51,"The Constitution (Amendment) BIll, 2002 (Amendment of Tenth Schedule)",Private Member,Gulam Mehmood Banatwalla Shri,08-02-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,29,"The Constitution (Amendment) Bill, 2002 (Amendment of articles 124 and 216)",Private Member,Suresh Kodikunnil Shri,05-03-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,4,"The Constitution (Amendment) Bill, 2002 (Amendment of article 124, etc.)",Private Member,Ramesh Chennithala Shri,22-03-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,15,"The Constitution (Amendment) Bill, 2002 (Amendment of article 105)",Private Member,Ramesh Chennithala Shri,22-03-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,3,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2002 (Amendment of the Schedule)",Private Member,Mohan Ponnuswamy Shri,03-05-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,71,"The Constitution (Amendment) Bill, 2002 (Insertion of new article 371-J)",Private Member,Priya Ranjan Dasmunsi Shri,12-05-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,40,"The Constitution (Amendment) Bill, 2002 (Amendment of article 275)",Private Member,S. Murugesan Shri,19-07-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,49,"The Constitution (Amendment) Bill, 2002 (Insertion of new article 21A)",Private Member,Priya Ranjan Dasmunsi Shri,19-07-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,50,"The Constitution (Amendment) Bill, 2002 (Amendment of article 243C, etc.)",Private Member,Priya Ranjan Dasmunsi Shri,19-07-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2002,52,"The Constitution (Amendment) Bill, 2002 (Amendment of articles 124 and 216)",Private Member,Renuka Chowdhury Smt.,22-11-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,105,"The Constitution (Ninety-Second Amendment) Bill, 2001",Government,,26-11-2001,Lok Sabha,28-11-2001,12-05-2001,01-04-2002,Assented,Atal Bihari Vajpayee,13,1999- 04
2001,3,"The Constitution (Amendment) Bill, 2001 (Amendment of articles 75, etc.)",Private Member,Gulam Mehmood Banatwalla Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,8,"The Constitution (Amendment) Bill, 2001 (Amendment of article 80)",Private Member,Anant Gangaram Geete Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,32,"The Constitution (Amendment) Bill, 2001 (Amendment of articles 115 and 205)",Private Member,Ramesh Chennithala Shri,27-07-2001,Lok Sabha,,,,NA,Atal Bihari Vajpayee,13,1999- 04
2001,40,"The Constitution (Amendment) Bill, 2001 (Amendment of First Schedule)",Private Member,Hannan Mollah Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,43,"The Constitution (Amendment) Bill, 2001 (Amendment of article 103, etc.)",Private Member,Hannan Mollah Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,15,"The Constitution (Amendment) Bill, 2001 (Amendment of article 217)",Private Member,Kolur Basavanagoud Shri,24-08-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,57,"The Constitution (Amendment) Bill, 2001 (Amendment of article 85, etc.)",Private Member,Pawan Kumar Bansal Shri,24-08-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,65,"The Constitution (Amendment) Bill, 2001 (Amendment of article 117, etc.)",Private Member,Anandrao Vithoba Adsul Shri,24-08-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,66,"The Constitution (Amendment) Bill, 2001 (Amendment of article 189)",Private Member,Kolur Basavanagoud Shri,24-08-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,94,"The Constitution (Amendment) BIll, 2001 (Amendment of article 19)",Private Member,Gulam Mehmood Banatwalla Shri,22-03-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,118,"The Constitution (Amendment) Bill, 2001 (Insertion of new articles 151A to 151J)",Private Member,Uttamrao Nathuji Dhikale Shri,22-03-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,124,"The Constitution (Amendment) BIll, 2001 (Amendment of article 243ZD, etc.)",Private Member,Uttamrao Nathuji Dhikale Shri,22-03-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,91,"The Constitution (Amendment) Bill, 2001 (Amendment of article 16)",Private Member,Renuka Chowdhury Smt.,22-11-2002,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2001,104,"The Constitution (Amendment) Bill, 2001 (Amendment of article 323)",Private Member,Kolur Basavanagoud Shri,21-02-2003,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2000,90,"The Constitution (Ninetieth Amendment) Bill, 2000",Government,,05-08-2000,Lok Sabha,09-05-2000,16-05-2000,05-10-2000,Passed,Atal Bihari Vajpayee,13,1999- 04
2000,41,"The Constitution (Eighty - Ninth Amendment) Bill, 2000.",Government,,03-09-2000,Lok Sabha,05-09-2000,16-05-2000,06-09-2000,Passed,Atal Bihari Vajpayee,13,1999- 04
2000,90,"The Constitution (Ninetieth Amendment) Bill, 2000",Government,,05-08-2000,Lok Sabha,05-10-2000,16-05-2000,05-10-2000,Passed,Atal Bihari Vajpayee,13,1999- 04
2000,172,"The Constitution ( Ninety- first Amendment ) Bill , 2000.",Government,,27-11-2000,Lok Sabha,21-08-2001,23-08-2001,21-02-2002,Passed,Atal Bihari Vajpayee,13,1999- 04
2000,15,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 16A abd 29A)",Private Member,P.C. Thomas Shri,20-04-2000,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,27,"The Constituiton (Amendment) Bill, 2000 (Amendment of articles 81 and 170)",Private Member,Gulam Mehmood Banatwalla Shri,20-04-2000,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,58,"The Constitution (Amendment) Bill, 2000",Private Member,Vijay Goel Shri,20-04-2000,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,39,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 151A to 151D)",Private Member,Gangasandra Siddappa Basavaraj Shri,20-04-2000,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,73,"The Constitution (Amendment) Bill, 2000 (Amendment of article 16, etc.)",Private Member,Sushil Kumar Shinde,05-05-2000,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,104,"The Constitution (Amendment) Bill, 2000 (Amendment of article 39)",Private Member,Ramdas Athawale Shri,28-07-2000,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,160,"The Constitution (Amendment) Bill, 2000 (Amendment of article 248, etc.)",Private Member,Suresh Kurup Adv.,23-02-2001,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,154,"The Constitution (Amendment) Bill, 2000",Private Member,Ramdas Athawale Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2000,158,The Constitution (Amendment) Bill 2000,Private Member,Subodh Mohite Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2000,159,"The Constitution (Amendment) Bill, 2002",Private Member,Prahlad Singh Patel Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2000,162,"The Constitution (Amendment) Bill, 2000 (Amendment of article 130)",Private Member,A.D.K. Jeyaseelan Dr.,27-07-2001,Lok Sabha,,,,NA,Atal Bihari Vajpayee,13,1999- 04
2000,168,"The Constitution (Amendment) Bill,2000 (Amendment of seventh schedule)",Private Member,A.D.K. Jeyaseelan Dr.,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2000,188,"The Constitution (Amendment) Bill, 2000 (Amendment of Eighth Schedule)",Private Member,Hannan Mollah Shri,27-07-2001,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
2000,191,"The Constitution (Amendment) Bill, 2000 (Insertionof new article 21A, etc.)",Private Member,Basudev Acharia Shri,27-07-2001,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,192,"The Constitution (Amendment) Bill, 2000 (Amendment of article 177)",Private Member,Kolur Basavanagoud Shri,24-08-2001,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
2000,173,"The Constitution (Amendment) BIll, 2000 (Substitution of new article for article 120, etc.)",Private Member,Vaiko Shri,08-10-2001,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
1999,67,"The Consititution (Eighty-Fourth Amendment) Bill, 1999",Government,,26-10-1999,Lok Sabha,27-10-1999,28-10-1999,21-01-2000,Passed,Atal Bihari Vajpayee,13,1999- 04
1999,46,"The Constitution (Eighty-sixth Amendment) Bill, 1999",Government,,17-12-1999,Rajya Sabha,22-08-2000,17-08-2000,09-08-2000,Passed,Atal Bihari Vajpayee,13,1999- 04
1999,54,"The Constitution (Eighty-eighth Amendment) Bill, 1999",Government,,23-12-1999,Rajya Sabha,22-08-2000,17-08-2000,09-08-2000,Passed,Atal Bihari Vajpayee,13,1999- 04
1999,47,"The Constitution (Eighty-seventh (Amendment) Bill, 1999",Government,,17-12-1999,Rajya Sabha,,,,Withdrawn,Atal Bihari Vajpayee,13,1999- 04
1999,102,"The Constitution (Amendment) Bill, 1999 (Insertion of new article 44A)",Private Member,P.C. Thomas Shri,17-12-1999,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
1999,119,"The Constitution (Amendment) Bill, 1999 (Insertion of new article 75A)",Private Member,Anant Gangaram Geete Shri,17-12-1999,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
1999,132,"The Constitution (Amendment) Bill, 1999 (Amendment of article 103, etc.)",Private Member,Anant Gangaram Geete Shri,17-12-1999,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
1999,99,"The Constitution (Eighty-Fifth Amendment) Bill,1999",Government,,23-12-1999,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,13,1999- 04
1999,89,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 1999",Private Member,Bir Sing Mahato Shri,25-02-2000,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,13,1999- 04
1999,81,"The Constitution (Amendment) Bill, 1999 (Insertion of new article 75A, etc.)",Private Member,Kirit Somaiya Shri,12-03-1999,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,78,"The Constitution (Eighty-Fifth Amendment) Bill, 1998",Government,,14-07-1998,Lok Sabha,,,,Lapsed,Atal Bihari Vajpayee,12,1998-99
1998,77,"The Constitution (Amendment) Bill, 1998 (Insertion of new article 75A, etc.)",Private Member,Sirpotdar Shri Madhukar,24-07-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,80,"The Constitution (Amendment) Bill, 1998 (Insertion of new article 16A)",Private Member,V. Saroja Dr.(Smt.),24-07-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,49,"The Constitution (Amendment) Bill, 1998 (Amendment of article 327)",Private Member,Sushil Kumar Shinde,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,57,"The Constitution (Amendment) Bill, 1998 (Amendment of article 171)",Private Member,Kondaiah Shri K.C,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,62,"The Constituiton (Amendment) Bill, 1998 (Insertion of new article 150A)",Private Member,Kondaiah Shri K.C,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,63,"The Constituiton (Amendment) Bill, 1998 (Amendment of article 51A)",Private Member,Sharma Shri Krishan Lal,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,64,"The Constitution (Amendment) Bill, 1998 (Amendment of article 239AA)",Private Member,Sharma Shri Krishan Lal,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,67,"The Constitution (Amendment) Bill, 1998 (Amendment of article 80)",Private Member,Kondaiah Shri K.C,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,68,"The Constitution (Amendment) Bill, 1998 (Amendment of article 51A)",Private Member,Kondaiah Shri K.C,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,69,"The Constitution (Amendment) Bill, 1998 (Insertion of new Chapter V-A)",Private Member,Patnaik Smt. Jayanti,07-10-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,35,"The Constitution (Amendment) Bill, 1998 (Amendment of article 311)",Private Member,Basudev Acharia Shri,06-12-1998,Lok Sabha,,,,Pending,Atal Bihari Vajpayee,12,1998-99
1998,15,"The Constitution (Amendment) Bill, 1998 (Amendment of articles 302 and 304)",Private Member,Singh Shri Amar Pal,06-02-1998,Lok Sabha,,,,Pending,Inder Kumar Gujral,11,1996-98
1998,16,"The Constitution (Amendment) Bill, 1998 (Amendment of article 174)",Private Member,Mohan Singh Shri,06-02-1998,Lok Sabha,,,,Pending,Inder Kumar Gujral,11,1996-98
1998,23,"The Constitution (Amendment) Bill, 1998 (Insertion of article 29A, etc.)",Private Member,Mohan Singh Shri,06-02-1998,Lok Sabha,,,,Pending,Inder Kumar Gujral,11,1996-98
1998,32,"The Constitution (Amendment) Bill, 1998 (Insertion of new article 51B)",Private Member,Mohan Singh Shri,06-02-1998,Lok Sabha,,,,Pending,Inder Kumar Gujral,11,1996-98
1998,33,"The Constitution (Amendment) Bill, 1998 (Amendment of article 15, etc.)",Private Member,Gulam Mehmood Banatwalla Shri,06-02-1998,Lok Sabha,,,,Pending,Inder Kumar Gujral,11,1996-98
1997,39,"The Constitution (Eighty-third Amendment) Bill, 1997",Government,,28-07-1997,Rajya Sabha,,,,Withdrawn,Inder Kumar Gujral,11,1996-98
1996,48,"The Constitution (Eightieth Amendment) Bill, 1996",Government,,25-07-1996,Lok Sabha,,,,Lapsed,H. D. Deve Gowda,11,1996-98
1995,60,"The Constitution( amendment) Bill,1995( to amend article 239AA)",Private Member,Tribhuvan Narayan Singh Shri,31-03-1995,Rajya Sabha,,,,Lapsed,P. V. Narasimha Rao,10,1991-96
1994,66,"The Constitution (Seventy-sixth Amendment) Bill, 1994",Government,,24-08-1994,Rajya Sabha,25-08-1994,24-08-1994,31-08-1994,Passed,P. V. Narasimha Rao,10,1991-96
1994,88,"The Constitution (Eighty-Fourth Amendment) Bill, 1994 (Amendment of articles 81,82 and 170)",Government,,25-08-1994,Lok Sabha,,,,Lapsed,P. V. Narasimha Rao,10,1991-96
1992,142,"The Constitution (Seventy-eight Amendment) Bill, 1992 (Amendment of article)",Government,,20-08-1992,Lok Sabha,20-08-1992,20-08-1992,31-08-1992,Passed,P. V. Narasimha Rao,10,1991-96
1992,174,"The Constitution (Amendment) Bill, 1992 (Amdt. of article 174)",Private Member,Mohan Singh Shri,06-02-1993,Lok Sabha,,,,Lapsed,P. V. Narasimha Rao,10,1991-96
1992,175,"The Constitution (Amendment) Bill, 1992 (Amdt. of Eighth Schedule)",Private Member,Rasa Singh Rawat Prof.,26-02-1993,Lok Sabha,,,,Lapsed,P. V. Narasimha Rao,10,1991-96
1992,162,"The Constitution (Amendment) Bill, 1992 (Insertion of new article 75A and 164A)",Private Member,Chitta Basu Shri,12-03-1993,Lok Sabha,,,,Lapsed,P. V. Narasimha Rao,10,1991-96
1992,114,"The Constitution (Amendment) Bill, 1992 (Amdt. of article 371)",Private Member,Yashwantrao Gadakh Patil Shri,26-03-1993,Lok Sabha,,,,Lapsed,P. V. Narasimha Rao,10,1991-96
1991,31,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 1991",Government,,29-07-1991,Rajya Sabha,14-08-1991,08-05-1991,20-08-1991,Assented,P. V. Narasimha Rao,10,1991-96
1991,203,"The Constitution (Seventy-fourth Amendment) Bill, 1991, insertion of new articles 239AA and 239AB",Government,,16-12-1991,Lok Sabha,20-12-1991,20-12-1991,21-12-1991,Passed,P. V. Narasimha Rao,10,1991-96
1991,159,"The Constitution (Seventy-third Amendment) Bill, 1991 (Insertion of New Part IXA)",Government,,16-09-1991,Lok Sabha,22-12-1992,23-12-1992,20-04-1993,Passed,P. V. Narasimha Rao,10,1991-96
1990,5,"The Constitution (Scheduled Castes) Orders (Amendment) Bill, 1990",Government,,12-03-1990,Rajya Sabha,29-05-1990,08-05-1990,03-06-1990,Assented,VP Singh,9,1989-91
1990,157,"The Constitution (Seventy-fifth Amendment) Bill, 1990",Government,,10-01-1990,Lok Sabha,04-10-1990,04-10-1990,04-10-1990,Assented,VP Singh,9,1989-91
1990,6,"The Constitution (Sixty-Fourth Amendment) Bill, 1990",Government,,27-03-1990,Rajya Sabha,,28-03-1990,,Lapsed,VP Singh,9,1989-91
1990,93,"The Constitution (Sixty-seventh Amendment) Bill, 1990",Government,,18-05-1990,Lok Sabha,,,,Lapsed,VP Singh,9,1989-91
1990,156,"The Constitution (Seventy-fourth Amendment) Bill, 1990",Government,,09-07-1990,Lok Sabha,,,,Lapsed,VP Singh,9,1989-91
1989,26,"The Constitution (Sixty-Second Amendment) Bill, 1989",Government,,20-12-1989,Rajya Sabha,26-12-1989,21-12-1989,25-01-1990,Passed,VP Singh,9,1989-91
1988,14,"The Constitution (Fifty-ninth Amendment) Bill, 1988",Government,,19-03-1988,Rajya Sabha,23-03-1988,15-03-1988,30-03-1988,Passed,Rajiv Gandhi,8,1984-89
1984,77,"The Constitution (Fifteeth Amendment) Bill, 1984",Government,,17-08-1984,Lok Sabha,23-08-1984,25-08-1984,26-08-1984,Passed,Indira Gandhi,7,1980-84
1984,79,"The Constitution (Fifty-First Amendment) Bill, 1984",Government,,17-08-1984,Lok Sabha,23-08-1984,25-08-1984,11-09-1984,Passed,Indira Gandhi,7,1980-84
1978,124,"The Constitution (Forty Seventh Amendment) Bill, 1978.",Government,,11-08-1978,Lok Sabha,,,,Lapsed,Morarji Desai,6,1977-79
1978,135,"The Constitution (Forty Eighth Amendment) Bill, 1978.",Government,,28-08-1978,Lok Sabha,,,,Withdrawn,Morarji Desai,6,1977-79
1970,53,"The Constitution (Twenty-Fourth Amendment) Bill, 1970",Government,,18-05-1970,Lok Sabha,02-09-1970,05-09-1970,,Negatived,Indira Gandhi,4,1967-70
1969,34,"The Constitution (Twenty-Second) Amendment Bill, 1969",Government,,10-04-1969,Lok Sabha,15-04-1969,30-04-1969,25-09-1969,Passed,Indira Gandhi,4,1967-70
1963,26,"The Constitution (Seventeenth Amendment) Bill, 1963",Government,,06-05-1963,Lok Sabha,,,,Negatived,Jawaharlal Nehru,3,1962-67
1963,24,"The Constitution (Amendment) Bill, 1963 (to amend article 143)",Private Member,Bhupesh Gupta Shri,13-12-1963,Rajya Sabha,,,,Lapsed,Jawaharlal Nehru,3,1962-67
1962,8,"The Constitution (Amendment) Bill, 1962( to amend article 291)",Private Member,Bhupesh Gupta Shri,16-11-1962,Rajya Sabha,,,,Lapsed,Jawaharlal Nehru,2,1957-62
1955,61,"The Constitution (Sixth-Amendment) Bill, 1955",Government,,21-11-1955,Lok Sabha,,,,Withdrawn,Jawaharlal Nehru,1,1952-57
1954,64,"The Constitution (Fourth Amendment) Bill, 1954",Government,,20-12-1954,Lok Sabha,12-04-1955,20-04-1955,27-04-1955,NA,Jawaharlal Nehru,1,1952-57
