year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,September,Nepal,Trade Balance,413994.79,498.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Netherlands,Export,1259846.51,1516.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Netherlands,Import,354634.13,426.98,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Netherlands,Trade Balance,905212.38,1089.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Nigeria,Export,278458.21,335.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Nigeria,Import,124975.2,150.47,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Nigeria,Trade Balance,153483.01,184.73,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,North Korea,Export,351684.06,423.45,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,North Korea,Import,1606907.78,1934.86,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,North Korea,Trade Balance,-1255223.72,-1511.41,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Qatar,Export,91179.44,109.71,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Qatar,Import,747440.64,900.02,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Qatar,Trade Balance,-656261.2,-790.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Russia,Export,276356.06,332.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Russia,Import,3916292.88,4715.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Russia,Trade Balance,-3639936.82,-4383.07,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Saudi Arabia,Export,686203.4,826.15,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Saudi Arabia,Import,2027014.94,2440.76,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Saudi Arabia,Trade Balance,-1340811.54,-1614.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Singapore,Export,881082.81,1060.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Singapore,Import,1622504.66,1953.59,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Singapore,Trade Balance,-741421.85,-892.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,South Africa,Export,490995.61,591.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,South Africa,Import,654703.41,788.36,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,South Africa,Trade Balance,-163707.8,-197.25,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Sri Lanka,Export,289433.57,348.37,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Sri Lanka,Import,68786.82,82.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Sri Lanka,Trade Balance,220646.75,265.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Switzerland,Export,74250.61,89.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Switzerland,Import,1391549.45,1675.51,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Switzerland,Trade Balance,-1317298.84,-1586.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Taiwan,Export,139700.32,168.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Taiwan,Import,588438.4,708.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Taiwan,Trade Balance,-448738.08,-540.38,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Thailand,Export,356472.21,429.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Thailand,Import,730843.62,879.95,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Thailand,Trade Balance,-374371.41,-450.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Turkey,Export,499308.85,601.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Turkey,Import,229876.88,276.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Turkey,Trade Balance,269431.97,324.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,UAE,Export,1963303.56,2363.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,UAE,Import,2999440.52,3611.7,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,UAE,Trade Balance,-1036136.96,-1247.87,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,United Kingdom,Export,852726.04,1026.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,United Kingdom,Import,411622.13,495.54,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,United Kingdom,Trade Balance,441103.91,531.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,USA,Export,5046787.95,6076.73,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,USA,Import,2734799.05,3292.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,USA,Trade Balance,2311988.9,2783.85,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
