fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2023-24,2023,April,26,3rd April to 12th April 2023,Rajasthan,Jaipur,No Elections,Sold/ Purchased,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,180,1800000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,161,1610000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,50,500000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Tamil Nadu,Chennai,No Elections,Redeemed/ Encashed,One Crore Bond,40,400000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,155,1550000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,165,1650000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Crore Bond,1,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,546,5460000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Jharkhand,Ranchi,No Elections,Redeemed/ Encashed,One Crore Bond,1,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Madhya Pradesh,Bhopal,No Elections,Sold/ Purchased,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Lakh Bond,2,200000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,20,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,17,1700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,25,2500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Lakh Bond,35,3500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,19,1900000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Karnataka,Bengaluru,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,110,110000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Madhya Pradesh,Bhopal,No Elections,Sold/ Purchased,Ten Lakh Bond,2,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,Ten Lakh Bond,20,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Assam,Guwahati,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,13,13000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,172,172000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,82,82000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,54,54000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,51,51000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,216,216000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,196,196000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Thousand Bond,5,50000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Thousand Bond,5,50000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Thousand Bond,5,50000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,April,26,3rd April to 12th April 2023,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Thousand Bond,5,50000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Karnataka,Bengaluru,No Elections,Sold/ Purchased,One Crore Bond,6,60000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2022-23,2022,October,22,1st October to 10th October 2022,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,115,1150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,One Crore Bond,81,810000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,116,1160000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,70,700000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,40,400000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,73,730000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Chhattisgarh,Raipur,No Elections,Sold/ Purchased,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,34,340000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Tamil Nadu,Chennai,No Elections,Redeemed/ Encashed,One Crore Bond,10,100000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Sikkim,Gangtok,No Elections,Redeemed/ Encashed,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,66,660000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,141,1410000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,270,2700000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,20,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,25,2500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,Ten Lakh Bond,30,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2022-23,2022,October,22,1st October to 10th October 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,Ten Lakh Bond,7,7000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,61,61000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Uttar Pradesh,Lucknow,No Elections,Sold/ Purchased,Ten Lakh Bond,50,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,2,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,25,25000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,21,21000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,October,22,1st October to 10th October 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,149,149000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Karnataka,Bengaluru,No Elections,Sold/ Purchased,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,One Crore Bond,35,350000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,89,890000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,One Crore Bond,4,40000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,308,3080000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,222,2220000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,13,130000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,653,6530000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,One Lakh Bond,67,6700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,One Lakh Bond,21,2100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,50,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Lakh Bond,50,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,93,9300000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,One Thousand Bond,29,29000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Thousand Bond,29,29000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2022-23,2022,November,23,9th November to 15th November 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,19,19000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,Ten Lakh Bond,16,16000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,14,14000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,29,29000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,25,25000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,63,63000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Gujarat,Gandhinagar,Assembly Elections,Sold/ Purchased,Ten Thousand Bond,27,270000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,November,23,9th November to 15th November 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Thousand Bond,27,270000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Odisha,Bhubaneshwar,No Elections,Sold/ Purchased,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,106,1060000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,112,1120000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,21,210000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,140,1400000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,106,1060000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Tamil Nadu,Chennai,No Elections,Redeemed/ Encashed,One Crore Bond,75,750000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,69,690000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,66,660000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,65,650000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Thousand Bond,5,5000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,25,25000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,Ten Lakh Bond,4,4000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,45,45000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,20,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,July,21,1st July to 10th July 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,49,49000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Odisha,Bhubaneshwar,No Elections,Sold/ Purchased,One Crore Bond,12,120000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2021-22,2022,January,19,01st January to 10th January 2022,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,227,2270000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Crore Bond,22,220000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,125,1250000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,134,1340000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Uttar Pradesh,Lucknow,Assembly Elections,Sold/ Purchased,One Crore Bond,14,140000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,485,4850000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,114,1140000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Goa,Panaji,Assembly Elections,Sold/ Purchased,One Crore Bond,8,80000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,47,470000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Tamil Nadu,Chennai,No Elections,Redeemed/ Encashed,One Crore Bond,100,1000000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,212,2120000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Uttar Pradesh,Lucknow,Assembly Elections,Redeemed/ Encashed,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Crore Bond,39,390000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,745,7450000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Bihar,Patna,No Elections,Redeemed/ Encashed,One Crore Bond,10,100000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,157,15700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Uttar Pradesh,Lucknow,Assembly Elections,Sold/ Purchased,One Lakh Bond,1,100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,20,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,12,1200000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Goa,Panaji,Assembly Elections,Sold/ Purchased,One Lakh Bond,175,17500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Lakh Bond,30,3000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Uttar Pradesh,Lucknow,Assembly Elections,Redeemed/ Encashed,One Lakh Bond,1,100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,284,28400000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Goa,Panaji,Assembly Elections,Redeemed/ Encashed,One Lakh Bond,40,4000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Karnataka,Bengaluru,No Elections,Sold/ Purchased,Ten Lakh Bond,20,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Odisha,Bhubaneshwar,No Elections,Sold/ Purchased,Ten Lakh Bond,35,35000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
