fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Chandigarh,Chandigarh  ,No Elections,Sold/ Purchased,One Crore Bond,7,70000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Tamil Nadu,Chennai  ,No Elections,Sold/ Purchased,One Crore Bond,94,940000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Crore Bond,42,420000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Assam,Guwahati,No Elections,Sold/ Purchased,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Telangana,Hyderabad,Assembly Elections,Sold/ Purchased,One Crore Bond,376,3760000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Rajasthan,Jaipur,Assembly Elections,Sold/ Purchased,One Crore Bond,10,100000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,194,1940000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Uttar Pradesh,Lucknow,No Elections,Sold/ Purchased,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,169,1690000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,128,1280000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Jharkhand,Ranchi,No Elections,Sold/ Purchased,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Kerala,Thiruvananthapuram ,No Elections,Sold/ Purchased,One Crore Bond,10,100000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Karnataka,Bengaluru,No Elections,Sold/ Purchased,One Lakh Bond,48,4800000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Lakh Bond,27,2700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Telangana,Hyderabad,Assembly Elections,Sold/ Purchased,One Lakh Bond,13,1300000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,176,17600000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,28,2800000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Karnataka,Bengaluru,No Elections,Sold/ Purchased,One Thousand Bond,3,3000,"total_bonds in absolute number, value_of_bonds in indian rupees",
