fiscal_year,country,category,value_rupee,value_usd,currency,unit,note
2020-21,Monaco,Export,1412.8,1.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Monaco,Import,5.39,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Monaco,Trade Balance,1407.41,1.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Mongolia,Export,13996.46,18.82,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Mongolia,Import,316.17,0.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Mongolia,Trade Balance,13680.29,18.4,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Montenegro,Export,14811.43,19.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Montenegro,Import,299.93,0.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Montenegro,Trade Balance,14511.5,19.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Montserrat,Export,49.46,0.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Montserrat,Import,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Montserrat,Trade Balance,49.46,0.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Morocco,Export,375137.36,507.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Morocco,Import,1066440.98,1436.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Morocco,Trade Balance,-691303.62,-929.7,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Mozambique,Export,911436.4,1230.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Mozambique,Import,468085.1,631.5,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Mozambique,Trade Balance,443351.3,599.27,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Myanmar,Export,573219.34,772.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Myanmar,Import,391592.83,526.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Myanmar,Trade Balance,181626.51,245.45,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Namibia,Export,37763.06,50.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Namibia,Import,22364.25,30.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Namibia,Trade Balance,15398.81,20.7,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nauru,Export,70.76,0.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nauru,Import,39.77,0.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nauru,Trade Balance,30.99,0.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nepal,Export,5046547.21,6836,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nepal,Import,497537.24,673.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nepal,Trade Balance,4549009.97,6162.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Netherlands,Export,4800068.02,6490.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Netherlands,Import,2457372.06,3320.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Netherlands,Trade Balance,2342695.96,3169.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,New Caledonia,Export,8514.42,11.37,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,New Caledonia,Import,1340.33,1.79,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,New Caledonia,Trade Balance,7174.09,9.58,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,New Zealand,Export,359876.35,485.56,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,New Zealand,Import,283203.45,381.51,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,New Zealand,Trade Balance,76672.9,104.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nicaragua,Export,66321.62,89.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nicaragua,Import,4588.24,6.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nicaragua,Trade Balance,61733.38,83.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Niger,Export,64261.22,86.86,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Niger,Import,3086.64,4.09,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Niger,Trade Balance,61174.58,82.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nigeria,Export,2315237.11,3133.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nigeria,Import,4199459.64,5672.28,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Nigeria,Trade Balance,-1884222.53,-2538.68,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Niue,Export,2.61,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Norfolk Island,Export,159.02,0.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Norfolk Island,Import,180.37,0.26,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Norfolk Island,Trade Balance,-21.35,-0.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,North Korea,Export,3471510.84,4686.53,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,North Korea,Import,9448663.77,12773.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,North Korea,Trade Balance,-5977152.93,-8086.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,North Macedonia,Export,17149.66,23.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,North Macedonia,Import,4349.2,5.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,North Macedonia,Trade Balance,12800.46,17.38,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Northern Mariana Islands,Export,213.63,0.24,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Northern Mariana Islands,Import,218.68,0.29,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Northern Mariana Islands,Trade Balance,-5.05,-0.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Norway,Export,238589.73,322.13,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Norway,Import,496548.12,673.5,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Norway,Trade Balance,-257958.39,-351.37,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Oman,Export,1743613.7,2354.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Oman,Import,2278517.69,3087.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Oman,Trade Balance,-534903.99,-733.49,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Pakistan,Export,241470.91,326.73,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Pakistan,Import,1768.53,2.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Pakistan,Trade Balance,239702.38,324.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Palau,Export,155.97,0.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Palau,Import,0.58,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Palau,Trade Balance,155.39,0.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Panama,Export,112238.58,151.67,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Panama,Import,24596.87,32.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Panama,Trade Balance,87641.71,118.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Papua New Guinea,Export,41623.95,55.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Papua New Guinea,Import,92840.59,125.85,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Papua New Guinea,Trade Balance,-51216.64,-69.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Paraguay,Export,119165.28,160.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Paraguay,Import,11570.49,15.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Paraguay,Trade Balance,107594.79,144.98,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Peru,Export,564799.8,764.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Peru,Import,1121705.93,1520.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Peru,Trade Balance,-556906.13,-756.54,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Philippines,Export,1079059.39,1456.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Philippines,Import,423690.84,572.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Philippines,Trade Balance,655368.55,884.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Pitcairn Islands,Export,87.15,0.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Pitcairn Islands,Import,5.61,0.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Pitcairn Islands,Trade Balance,81.54,0.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Poland,Export,1221246.26,1651.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Poland,Import,522189.86,706.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Poland,Trade Balance,699056.4,945.86,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Portugal,Export,622312.75,836.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Portugal,Import,84377.11,113.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Portugal,Trade Balance,537935.64,722.97,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Puerto Rico,Export,115422.17,156.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Puerto Rico,Import,21613.25,29.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Puerto Rico,Trade Balance,93808.92,126.97,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Qatar,Export,950404.58,1283.7,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Qatar,Import,5866266.1,7930.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Qatar,Trade Balance,-4915861.52,-6646.38,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Reunion Island,Export,32508.98,43.47,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Reunion Island,Import,13619.62,18.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Reunion Island,Trade Balance,18889.36,25.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Romania,Export,274661.38,371.53,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Romania,Import,143323.96,193.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Romania,Trade Balance,131337.42,177.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Russia,Export,1964969.82,2654.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Russia,Import,4063240.56,5485.45,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Russia,Trade Balance,-2098270.74,-2830.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Rwanda,Export,99473.15,133.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Rwanda,Import,4932.77,6.65,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Rwanda,Trade Balance,94540.38,127.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sahrawi Arab Democratic Republic,Export,28.23,0.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Helena,Export,125.92,0.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Helena,Import,7.84,0.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Helena,Trade Balance,118.08,0.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Kitts And Nevis,Export,729.44,0.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Kitts And Nevis,Import,0.72,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Kitts And Nevis,Trade Balance,728.72,0.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Lucia,Export,2510.16,3.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Lucia,Import,290.07,0.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Lucia,Trade Balance,2220.09,2.95,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saint Pierre Island,Export,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Samoa,Export,433.27,0.59,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Samoa,Import,725.72,0.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Samoa,Trade Balance,-292.45,-0.37,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,San Marino,Export,188.84,0.24,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,San Marino,Import,61.35,0.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,San Marino,Trade Balance,127.49,0.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sao Tome And Principe,Export,1447.55,1.95,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sao Tome And Principe,Import,59.93,0.07,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sao Tome And Principe,Trade Balance,1387.62,1.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saudi Arabia,Export,4335887.65,5855.33,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saudi Arabia,Import,11975861.96,16186.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Saudi Arabia,Trade Balance,-7639974.31,-10331.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Senegal,Export,515978.95,698.8,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Senegal,Import,278944.54,375.64,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Senegal,Trade Balance,237034.41,323.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Serbia,Export,67367.71,90.45,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Serbia,Import,5425.14,7.29,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Serbia,Trade Balance,61942.57,83.16,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Seychelles,Export,40948.32,54.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Seychelles,Import,2704.46,3.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Seychelles,Trade Balance,38243.86,51.43,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sierra Leone,Export,112386.26,151.76,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sierra Leone,Import,6478.39,8.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sierra Leone,Trade Balance,105907.87,143.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Singapore,Export,6438215.88,8674.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Singapore,Import,9821956.97,13303.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Singapore,Trade Balance,-3383741.09,-4629.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sint Maarten,Export,1.25,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Slovakia,Export,115333.43,155.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Slovakia,Import,26337,35.49,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Slovakia,Trade Balance,88996.43,120.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Slovenia,Export,262526.47,354.54,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Slovenia,Import,201409.42,271.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Slovenia,Trade Balance,61117.05,82.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Solomon Islands,Export,1218.34,1.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Solomon Islands,Import,24922.98,33.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Solomon Islands,Trade Balance,-23704.64,-32.28,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Somalia,Export,410482,554.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Somalia,Import,4238.22,5.68,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Somalia,Trade Balance,406243.78,548.42,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,South Africa,Export,2907506.85,3933.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,South Africa,Import,5576627.13,7567.93,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,South Africa,Trade Balance,-2669120.28,-3634.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,South Sudan,Export,773538.3,1044.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,South Sudan,Import,272339.69,369.84,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,South Sudan,Trade Balance,501198.61,674.79,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Spain,Export,2396169.25,3237.43,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Spain,Import,1119017.84,1511.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Spain,Trade Balance,1277151.41,1726.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sri Lanka,Export,2585727.77,3496.68,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sri Lanka,Import,475214.2,642.66,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sri Lanka,Trade Balance,2110513.57,2854.02,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,St. Vincent And The Grena,Export,465.46,0.6,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,St. Vincent And The Grena,Import,8856.74,12.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,St. Vincent And The Grena,Trade Balance,-8391.28,-11.57,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Standard_Name,Export,1464.96,2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Standard_Name,Import,109.2,0.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Standard_Name,Trade Balance,1355.76,1.86,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Suriname,Export,12658.28,17.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Suriname,Import,25194.19,34.13,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Suriname,Trade Balance,-12535.91,-17.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Svalbard And Jan Mayen,Export,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sweden,Export,564561.68,763.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sweden,Import,743843.74,1004.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Sweden,Trade Balance,-179282.06,-240.93,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Switzerland,Export,934060.39,1261,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Switzerland,Import,13386750.8,18230.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Switzerland,Trade Balance,-12452690.41,-16969.12,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Syria,Export,92167.73,124.15,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Syria,Import,11337.31,15.29,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Syria,Trade Balance,80830.42,108.86,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Taiwan,Export,1200648.97,1619.62,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Taiwan,Import,2983853.67,4035.89,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Taiwan,Trade Balance,-1783204.7,-2416.27,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tajikistan,Export,39496.12,53.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tajikistan,Import,781.8,1.06,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tajikistan,Trade Balance,38714.32,52.33,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tanzania,Export,1064419.85,1437.96,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tanzania,Import,688816,934.81,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tanzania,Trade Balance,375603.85,503.15,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Thailand,Export,3148132.44,4260.71,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Thailand,Import,4237464.11,5732.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Thailand,Trade Balance,-1089331.67,-1471.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Timor Leste,Export,18661.76,25.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Timor Leste,Import,29.47,0.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Timor Leste,Trade Balance,18632.29,25.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Togo,Export,1139361.08,1546.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Togo,Import,222710.96,300.29,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Togo,Trade Balance,916650.12,1246.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tokelau Islands,Export,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tokelau Islands,Import,13.88,0.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tokelau Islands,Trade Balance,-13.88,-0.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tonga,Export,624.79,0.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tonga,Import,0.22,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Tonga,Trade Balance,624.57,0.83,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2020-21,Trinidad And Tobago,Export,55332.15,74.65,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
